Site,Season,Year,median_height,min_height,max_height,Q1,Q3,Survival_status
ASHC,Fall,2023,64.19,8.05,181.46,35.04,97.92,All
ASHC,Fall,2024,69.05,5.13,183.16,15.62,107.75,All
ASHC,Spring,2023,65.6,8,167,28.13,90,All
ASHC,Spring,2024,71.13499999999999,6.97,168.17,40.557500000000005,103.695,All
FENC,Fall,2023,62.02,5.08,189,41.25,95.5,All
FENC,Fall,2024,74.68,6.04,172.18,37.1625,107.88000000000001,All
FENC,Spring,2023,53.91,5.82,232.1,26.33,86.60749999999999,All
FENC,Spring,2024,78.625,8.91,169.44,52.339999999999996,102.36749999999999,All
GOLD,Fall,2023,81.805,25.44,159.97,51.7275,103.55,All
GOLD,Fall,2024,77.825,24.96,169.97,57.144999999999996,106.54499999999999,All
LAUR,Fall,2023,108.44,83.18,139.32,100.83,116.62,All
ASHC,Fall,2023,61.06,8.77,181.46,30.91,96.9,Live
ASHC,Fall,2024,54.77,5.13,178.92,13.469999999999999,99.945,Live
ASHC,Spring,2023,58.405,8,167,25.407500000000002,84.225,Live
ASHC,Spring,2024,67.39,6.97,168.17,36.15,100.325,Live
FENC,Fall,2023,57.879999999999995,5.08,189,39.545,91.965,Live
FENC,Fall,2024,76.125,6.04,172.18,32.5975,107.2175,Live
FENC,Spring,2023,51.8,5.82,183.66,25.384999999999998,86.52000000000001,Live
FENC,Spring,2024,76.595,8.91,169.44,52.339999999999996,103.9975,Live
GOLD,Fall,2023,93.41499999999999,27.97,159.97,71.605,111.09,Live
GOLD,Fall,2024,104.19,35.46,169.97,82.49,122.9075,Live
LAUR,Fall,2023,115.815,105.59,125.6,111.97500000000001,117.73750000000001,Live
ASHC,Fall,2023,74.95,8.05,167.53,42.3875,100.965,Box
ASHC,Fall,2024,101.825,20.95,183.16,76.43,120.11749999999999,Box
ASHC,Spring,2023,76.55,9,160,54.83,99,Box
ASHC,Spring,2024,89.785,18.12,148.16,64.01249999999999,116.39,Box
FENC,Fall,2023,79.67,10.98,153.87,50.38,104,Box
FENC,Fall,2024,70.66,13.56,162.17,51.9425,116.13499999999999,Box
FENC,Spring,2023,61.24,7.59,232.1,34.059999999999995,88.49249999999999,Box
FENC,Spring,2024,80.7,20.67,143.46,53.205,101.0975,Box
GOLD,Fall,2023,50.465,25.44,101.46,38.8975,61.965,Box
GOLD,Fall,2024,58.29,24.96,145.2,47.4425,75.41749999999999,Box
LAUR,Fall,2023,102.27,83.18,139.32,98.265,111.11500000000001,Box
ASHC,Spring,2023,65.505,24,98.81,54.75,74.21000000000001,Gaper
ASHC,Spring,2024,77.47,77.47,77.47,77.47,77.47,Gaper
FENC,Fall,2023,105.4,97.26,152.76,102.0825,118.5225,Gaper
FENC,Spring,2023,37.8,10.8,107.98,26.47,61.55499999999999,Gaper
