Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_01,68.4,ng/uL,1.71,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.93649383,1287.940704,,510,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_02,33.2,ng/uL,0.83,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.03781276,1350.685112,,278,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_03,41.2,ng/uL,1.03,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.806503,1272.228347,,318,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_04,37.5,ng/uL,0.938,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.9444433,1315.508803,,303,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_05,92.8,ng/uL,2.32,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.4171262,1171.827959,,609,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_06,121,ng/uL,3.03,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25423571,1133.547686,,744,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_07,55.2,ng/uL,1.38,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.0558256,1156.424831,,377,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:11 PM,dsDNA BR,0923GOLD_08,58.8,ng/uL,1.47,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.17837302,1076.789493,,371,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_09,74,ng/uL,1.85,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.93649383,1287.940704,,549,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_10,39.8,ng/uL,0.994,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.03781276,1350.685112,,327,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_11,43.6,ng/uL,1.09,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.806503,1272.228347,,335,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_12,43.6,ng/uL,1.09,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.9444433,1315.508803,,346,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_13,68.4,ng/uL,1.71,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.4171262,1171.827959,,465,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_14,75.6,ng/uL,1.89,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25423571,1133.547686,,490,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_15,95.6,ng/uL,2.39,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.0558256,1156.424831,,617,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:04:27 PM,dsDNA BR,0923GOLD_16,78.8,ng/uL,1.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.17837302,1076.789493,,483,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_17,84,ng/uL,2.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.93649383,1287.940704,,613,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_18,51.6,ng/uL,1.29,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.03781276,1350.685112,,415,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_19,63.2,ng/uL,1.58,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.806503,1272.228347,,470,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_20,108,ng/uL,2.71,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.9444433,1315.508803,,785,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_21,76.8,ng/uL,1.92,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.4171262,1171.827959,,515,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_22,61.2,ng/uL,1.53,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25423571,1133.547686,,406,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_23,68,ng/uL,1.7,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.0558256,1156.424831,,454,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:06 PM,dsDNA BR,0923GOLD_24,60.8,ng/uL,1.52,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.17837302,1076.789493,,385,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,8
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_25,64.8,ng/uL,1.62,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.93649383,1287.940704,,485,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_26,39.2,ng/uL,0.981,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.03781276,1350.685112,,323,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_27,71.2,ng/uL,1.78,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.806503,1272.228347,,521,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_28,48,ng/uL,1.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.9444433,1315.508803,,377,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_29,92.4,ng/uL,2.31,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.4171262,1171.827959,,608,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
210824-140159,21/08/2024 02:05:28 PM,dsDNA BR,0923GOLD_30,76.4,ng/uL,1.91,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25423571,1133.547686,,496,21/08/2024 02:03:07 PM,,,,,#0923GOLD,8,1.9.0,6
