Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_01,54,ng/uL,1.35,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.65988,1352.220182,,434,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_02,84.8,ng/uL,2.12,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.61073135,1389.747042,,667,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_03,38.4,ng/uL,0.961,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.17106625,1289.494718,,303,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_04,98.8,ng/uL,2.47,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.20272909,1314.891507,,722,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_05,85.2,ng/uL,2.13,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.83804689,1184.497618,,571,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-151157,21/08/2024 03:24:24 PM,dsDNA BR,0923LAUR_06,64.4,ng/uL,1.61,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.35233262,1266.596179,,476,21/08/2024 03:18:10 PM,,,,,#0723LAUR,8,1.9.0,1
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_07,104,ng/uL,2.6,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.72557256,1181.530676,,678,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:31 PM,dsDNA BR,0923LAUR_08,35,ng/uL,0.876,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.02283134,1120.361545,,243,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_09,56.4,ng/uL,1.41,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.65988,1352.220182,,449,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_10,50,ng/uL,1.25,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.61073135,1389.747042,,413,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_11,117,ng/uL,2.93,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.20272909,1314.891507,,838,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_12,119,ng/uL,2.98,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.17106625,1289.494718,,834,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_13,78.8,ng/uL,1.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.83804689,1184.497618,,535,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_14,175,ng/uL,4.38,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.60900048,1145.944861,,1030,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_15,48,ng/uL,1.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.72557256,1181.530676,,339,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:33:56 PM,dsDNA BR,0923LAUR_16,99.2,ng/uL,2.48,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.02283134,1120.361545,,618,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_17,89.2,ng/uL,2.23,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.65988,1352.220182,,679,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_18,56.4,ng/uL,1.41,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.61073135,1389.747042,,462,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_19,47.6,ng/uL,1.19,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.17106625,1289.494718,,368,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_20,68.4,ng/uL,1.71,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.20272909,1314.891507,,520,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_21,180,ng/uL,4.51,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.83804689,1184.497618,,1090,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_22,56.8,ng/uL,1.42,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.60900048,1145.944861,,384,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
210824-143116,21/08/2024 02:34:24 PM,dsDNA BR,0923LAUR_23,67.6,ng/uL,1.69,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.72557256,1181.530676,,463,21/08/2024 02:31:35 PM,,,,,#0923LAUR,8,1.9.0,8
